,Job,Minor Category,Major Category
319,banking,Finance_Econ,Business
320,justice,Legal,Legal
321,administrator,Other_Unsure,Non_Business
322,businesswoman,Business,Business
323,investment banker,Finance_Econ,Business
324,planar,Government,Non_Business
325,county planner,Other_Unsure,Non_Business
326,consultant,Other_Unsure,Non_Business
327,legislative consultant,Other_Unsure,Non_Business
328,caseworker,Other_Unsure,Non_Business
329,business owner,Business,Business
330,staff member,Other_Unsure,Non_Business
331,staff,Other_Unsure,Non_Business
332,staff assistant,Other_Unsure,Non_Business
333,administrative assistant,Other_Unsure,Non_Business
334,realtor,Real Estate,Business
335,insurance,Finance_Econ,Business
336,insurance agent,Finance_Econ,Business
337,officer,Police,Military
338,faculty,Academia,Non_Business
339,commissioner,Government,Non_Business
340,tax commissioner,Government,Non_Business
341,broker,Finance_Econ,Business
342,stock broker,Finance_Econ,Business
343,securities analyst,Finance_Econ,Business
344,trustee,Business,Business
345,founder,Business,Business
346,mission,Religion,Non_Business
347,pastor,Religion,Non_Business
348,longshoreman,Travel,Non_Business
349,ranching,Agriculture,Non_Business
351,farming,Agriculture,Non_Business
352,bricklayer,Constructions,Low_Status
353,newspaperman,LowStat,Low_Status
354,mail,LowStat,Low_Status
355,dealer,Business,Business
356,construction,Constructions,Low_Status
357,agriculture,Agriculture,Non_Business
358,Attorney General,Legal,Legal
359,attorney general,Legal,Legal
